Molecular Weight,Polarity,H Bond Donors,H Bond Acceptors,Solubility
196.2188545,0.914073307,2,4,0.610210552
124.8753144,0.99255434,4,2,0.56671397
157.6157334,0.891698323,3,1,0.678873563
159.2041931,0.75949496,2,3,0.484746282
157.2251906,0.533037132,3,1,0.537619169
122.3081633,0.736206895,3,3,0.500724778
195.2749012,0.719127973,0,1,0.404605246
144.7125379,0.601398021,3,4,0.460944481
184.6408672,0.711793818,2,2,0.327507539
169.9479275,0.678878942,0,1,0.462763817
129.7436951,0.581842131,0,0,0.495291546
181.379782,0.720687072,2,2,0.346692049
139.6505741,0.631399978,0,4,0.410227565
188.1103197,0.76103121,2,1,0.424770874
158.1272873,0.51758003,4,2,0.413735104
188.1735362,0.95311571,0,0,0.475110851
169.253159,0.908182153,4,2,0.372438053
172.525428,0.776290666,0,1,0.665750678
150.1324382,0.925904291,3,0,0.471327428
195.6083635,0.981197537,2,1,0.361182617
164.3990199,0.555261147,3,3,0.596799891
142.3855049,0.815415904,4,2,0.389824088
160.6393214,0.998997,2,0,0.32902816
101.9193198,0.993944585,2,1,0.381646071
130.1574817,0.801661496,4,3,0.509997406
166.0173537,0.564010435,2,1,0.646754486
129.0077607,0.791596415,2,1,0.620750442
161.8015429,0.501032318,0,2,0.30260299
142.8768701,0.599455667,1,2,0.696645326
113.5474064,0.97806158,3,3,0.467843889
129.8282326,0.665220286,1,2,0.639857845
156.9964911,0.819195053,2,0,0.316336586
159.0872761,0.640429747,1,3,0.496894122
157.4325249,0.973910944,0,2,0.309805251
165.320082,0.864279365,4,4,0.708172768
165.210327,0.664825579,4,0,0.39348359
143.1418435,0.895880711,1,1,0.637273954
189.6546596,0.554082762,0,0,0.438533081
136.756187,0.69615947,4,0,0.367675557
143.5864925,0.610609064,1,0,0.76514767
189.1923355,0.841863224,1,4,0.597512308
180.6193989,0.551223141,3,0,0.745315524
170.3888584,0.698512916,0,4,0.453299701
110.0226887,0.638324865,3,4,0.714917667
191.9482614,0.75317146,1,2,0.770841167
171.42413,0.67494884,3,4,0.497591913
199.8847007,0.853205289,3,4,0.752065526
114.9448305,0.512288512,1,3,0.467542871
186.8126057,0.816993461,4,4,0.4623
116.2492935,0.615285645,2,0,0.797866336
161.5559564,0.634354514,4,1,0.776205224
112.3819983,0.900127802,0,4,0.414309173
184.8008229,0.977784197,4,4,0.718601014
180.7318959,0.658275105,1,2,0.471228939
156.9100739,0.913402635,3,2,0.789621687
140.7183297,0.551995419,0,0,0.724908814
106.9166995,0.816990827,0,3,0.752459651
169.7428773,0.87551615,0,4,0.586836756
145.3542683,0.577988964,3,1,0.447075676
172.2055599,0.713001194,4,4,0.398762503
186.6382326,0.946353582,3,3,0.56393596
197.5521505,0.551789232,2,3,0.635757863
185.5803342,0.509048179,0,1,0.670894318
101.1714084,0.79529269,1,0,0.385191606
135.9978064,0.71776577,3,4,0.567943996
172.9990562,0.899344624,0,4,0.51805491
117.1629677,0.961727769,3,2,0.404112105
152.1036606,0.649576822,3,0,0.576481159
105.4337988,0.694202059,4,1,0.437956861
119.9996525,0.743136043,3,4,0.567527279
101.8521794,0.79407573,1,3,0.400054672
179.3697703,0.991926915,2,0,0.749971268
122.3924688,0.848665125,2,3,0.469051412
134.5351681,0.694774254,3,3,0.605167301
192.8081293,0.631883843,3,4,0.360966494
170.4414402,0.972312859,3,1,0.615008596
103.183893,0.567774217,2,1,0.43602017
116.4694156,0.860132926,3,1,0.778265795
162.1478401,0.962697513,4,4,0.497077133
157.7228589,0.832332793,3,2,0.603703278
123.7892821,0.71152722,1,1,0.407906683
193.4213998,0.59949547,1,3,0.730738101
161.3965956,0.683737661,2,3,0.702166459
153.5632803,0.853435905,1,2,0.422817656
158.9909976,0.824767112,2,0,0.755524254
173.012203,0.963988083,1,4,0.320077511
131.1944995,0.933430457,2,4,0.67628656
139.8221062,0.908075376,0,3,0.528934393
120.9843749,0.955725438,1,1,0.717729697
118.6193006,0.638168576,3,1,0.532742984
194.437239,0.68476177,2,2,0.332791048
173.9550795,0.689946952,2,0,0.413272766
149.0458809,0.780225294,4,1,0.797187417
122.7414628,0.834109115,0,1,0.467088801
125.4356482,0.643358342,0,3,0.380152609
105.802916,0.509731234,3,1,0.702915413
143.4416626,0.699611192,2,4,0.322534914
131.1795882,0.65426398,0,1,0.333204376
169.6343489,0.97109236,0,1,0.44875939
137.7751839,0.94413252,4,0,0.323700487
117.9603678,0.930155339,3,4,0.797856342
102.4678728,0.82649988,3,2,0.645564443
106.7249631,0.672144582,0,4,0.55979322
167.9392773,0.774424634,1,2,0.702583195
145.3696845,0.90761252,4,0,0.6312434
153.6579211,0.549305184,1,0,0.386632477
189.6671293,0.90053744,4,3,0.4098169
199.0338947,0.520589896,1,0,0.733847143
121.6896984,0.908210516,3,1,0.468480663
166.3078203,0.903781902,2,4,0.523820171
126.3322377,0.525503654,3,2,0.495567856
102.0650999,0.813580356,0,4,0.326014906
175.8378654,0.751226537,1,4,0.652286859
132.0017151,0.584909752,0,4,0.57003704
138.3463894,0.574189469,3,4,0.638070041
158.8317114,0.886629563,1,4,0.439115695
183.1048455,0.783846374,4,0,0.503456954
162.8981844,0.991499567,2,4,0.396324881
187.2650655,0.991123889,3,4,0.509841316
127.3542035,0.996333497,3,2,0.626745706
179.8046834,0.559307759,2,4,0.772344522
118.5635944,0.969128068,3,4,0.6317286
195.2791657,0.622284805,1,4,0.562579865
168.7488276,0.72910613,1,1,0.508183611
121.5507677,0.878703278,3,1,0.352774842
194.737059,0.601810466,1,1,0.538537148
173.0855807,0.783155803,3,4,0.377554047
125.3941643,0.592908374,3,0,0.591093592
121.3311977,0.552368053,4,1,0.665123539
151.8200714,0.558279306,2,3,0.773247806
102.5662718,0.678819517,1,1,0.448426434
120.7470075,0.502327418,2,2,0.498452769
142.4685469,0.712426961,4,0,0.39147597
137.416998,0.832098553,0,2,0.738970255
146.3575424,0.700844093,3,2,0.712038612
127.7628706,0.5428973,1,1,0.687479947
158.6784346,0.531344431,0,2,0.328645019
186.3855606,0.639058256,0,2,0.578359721
111.7531856,0.584656345,1,0,0.417506781
151.7379107,0.982547487,0,1,0.359842598
113.2068106,0.575615112,3,0,0.69080655
171.6859681,0.902731219,3,4,0.405790688
139.6059703,0.793053971,3,1,0.550405849
156.5421312,0.78464346,4,2,0.563048174
118.3279836,0.756040358,0,1,0.406641002
114.4847759,0.985881538,3,1,0.546130583
148.8056281,0.681922388,4,4,0.326409949
135.5612738,0.893957875,3,0,0.300036225
194.0431945,0.777647054,3,1,0.740160966
176.5325254,0.697816834,1,1,0.507794351
174.866362,0.977732967,3,3,0.753709899
190.371974,0.799157985,3,1,0.54815368
108.3422435,0.559458471,3,0,0.515554147
155.219247,0.7087696,3,3,0.44795607
158.4476069,0.890790864,3,2,0.340844469
196.1936379,0.846873512,2,2,0.454847325
129.2147527,0.958170165,2,1,0.604235133
124.082878,0.629688692,4,0,0.681393174
110.0293942,0.879096858,4,1,0.570412759
101.642963,0.729937604,4,2,0.679127922
192.9529317,0.786804873,2,1,0.378875796
166.9916547,0.977523341,4,1,0.591619966
178.5152912,0.98964316,1,2,0.741301614
128.1730106,0.930795482,0,2,0.408980104
158.6410166,0.679548544,1,3,0.413834469
106.3955266,0.943850418,0,3,0.674216257
148.5627596,0.819304589,0,0,0.706028392
197.749514,0.71499839,3,0,0.424023165
187.6505245,0.517871341,4,2,0.465784902
133.8158952,0.885064062,0,0,0.6158847
196.1570155,0.75105279,3,0,0.499215857
123.1701626,0.89309425,1,3,0.612005485
194.9318822,0.8740114,3,2,0.548215016
194.1377705,0.896783684,0,3,0.686825655
179.9202587,0.650325579,3,1,0.722944323
163.0447937,0.9003993,3,2,0.731913605
187.4287967,0.774423164,1,4,0.605762539
129.3020285,0.7366631,1,0,0.606292052
184.8943555,0.837562957,0,0,0.524823449
161.7876692,0.510679341,3,2,0.313807022
101.3236858,0.551158408,2,4,0.44959011
134.7233518,0.646088683,3,2,0.331848859
114.8140861,0.991495055,0,0,0.518892624
198.182939,0.569872889,2,0,0.724742624
147.8370307,0.66529815,3,2,0.598401009
149.7391365,0.525526532,1,1,0.637766299
163.9472516,0.66563444,0,3,0.394003986
136.8584606,0.660163143,3,2,0.430976575
113.6900272,0.973403585,1,1,0.381566076
182.2117733,0.922577043,0,4,0.721344381
118.9847912,0.69138211,2,0,0.440156506
151.1318983,0.512384529,2,0,0.581163155
122.4317029,0.915515557,0,2,0.370564307
109.7844484,0.830268089,1,4,0.361994454
186.2191517,0.576182242,2,2,0.473791682
197.2919489,0.998035636,0,3,0.465176579
196.0834658,0.550116719,3,2,0.464426617
190.6555499,0.933557271,0,0,0.600466394
177.4047333,0.647133082,0,0,0.457995078
133.3145152,0.717676733,0,1,0.684367934
108.110139,0.897728263,1,3,0.345335384
140.7241171,0.838754178,4,1,0.462392929
123.2234142,0.968932187,3,3,0.634596564
113.2487635,0.810570163,1,0,0.601466055
105.3427182,0.548905081,0,2,0.359757809
172.5594364,0.942180182,3,0,0.519736747
101.1427459,0.884577762,1,1,0.454610731
177.0580749,0.855935225,2,1,0.615935216
114.6946645,0.526866774,3,2,0.36493514
107.9522083,0.698111372,4,4,0.635282961
108.9603034,0.58371791,4,0,0.531916266
167.2047807,0.910951954,3,1,0.437444994
124.536721,0.850264311,3,4,0.673721997
142.0539467,0.941538799,0,4,0.393954928
155.7368791,0.983287553,0,0,0.376118969
186.0551174,0.887373807,0,1,0.307677968
172.7044263,0.997116542,3,4,0.730650178
127.0327905,0.807384943,4,1,0.54618277
113.1482799,0.518564802,2,4,0.558357805
105.537432,0.507125758,4,0,0.357381308
130.1598634,0.671051938,0,0,0.353888068
126.2118149,0.91173586,1,1,0.466891702
145.6140567,0.933067353,4,0,0.558115322
168.3281336,0.980406264,0,3,0.65043611
169.5625446,0.532560734,3,0,0.549635178
128.3518847,0.522285555,2,2,0.715779216
137.9926956,0.956641798,1,0,0.488696166
118.1150962,0.652523349,4,1,0.314043996
178.8545512,0.7789937,0,4,0.513076138
105.6848076,0.991222442,4,3,0.342501315
169.6997242,0.700224267,2,1,0.461027214
177.8695396,0.832935699,1,1,0.792577342
177.7407562,0.700439782,4,4,0.728677129
125.9422564,0.884097332,2,4,0.418227857
137.3813138,0.763857363,1,2,0.487981216
158.7599635,0.618761569,4,1,0.515582565
127.2821902,0.635653051,0,3,0.681934189
137.0852799,0.629029606,2,2,0.316728564
119.705428,0.766160164,0,2,0.319311385
145.9855884,0.851594508,2,3,0.358558934
104.4612301,0.97463995,0,4,0.614162491
179.9795885,0.847043688,0,4,0.507273309
107.6956447,0.890596422,4,1,0.724462814
151.8835149,0.584463058,4,2,0.442028945
130.68101,0.687031313,0,3,0.544626015
157.7542949,0.70689011,2,3,0.653392861
195.9433341,0.843190115,4,3,0.572600599
164.5570244,0.647945988,4,2,0.458399989
103.5362436,0.651645961,0,0,0.376271384
143.040244,0.677944577,2,0,0.570301709
151.0016852,0.905151041,0,1,0.371078251
153.6177495,0.788795045,3,2,0.76965223
168.1392511,0.53763864,0,2,0.569945305
127.7596098,0.53912305,2,0,0.387457652
112.8860565,0.685643472,4,4,0.660321273
139.2675677,0.883295525,4,0,0.351773597
195.6405723,0.844341713,1,2,0.685822395
118.7130892,0.853991177,0,3,0.528644556
190.3983955,0.883605033,4,2,0.366330978
154.380595,0.643576356,3,1,0.318605518
145.6911422,0.774128141,4,0,0.796688997
188.204141,0.77167632,3,1,0.437184145
145.8603962,0.869816251,4,0,0.776124311
172.4167637,0.978435285,4,0,0.550918168
139.9025322,0.638994972,2,1,0.551507692
190.4044393,0.896640836,4,1,0.345534859
169.002502,0.829985274,3,3,0.775352909
169.9622054,0.790118935,2,1,0.666447932
132.7720402,0.88743989,4,4,0.559363919
175.6778643,0.972016233,2,2,0.36012857
163.6061055,0.518345709,4,3,0.387838285
124.0020273,0.573700051,1,0,0.516083303
116.0538822,0.878143616,2,4,0.48112941
179.6391475,0.541895676,3,1,0.579069003
195.9166603,0.75806185,1,1,0.338171987
145.8138827,0.609930388,4,4,0.32017301
159.0984165,0.637147852,4,2,0.555551543
185.7722644,0.850920241,1,4,0.31425069
145.7223453,0.515096387,0,0,0.329775977
195.1874477,0.936659714,1,4,0.488170729
157.5751162,0.722239478,3,3,0.330889535
182.0767121,0.751196647,4,4,0.492734813
190.8843718,0.770023982,2,4,0.420875258
181.5523819,0.822772147,0,0,0.393885149
115.9414463,0.672428293,2,0,0.502339916
162.8898439,0.550553745,1,2,0.359951953
139.8434259,0.659189468,4,0,0.474819684
106.2712952,0.584071059,3,0,0.517436815
142.4032252,0.77806659,1,0,0.715001473
125.8684067,0.659014315,1,4,0.766403091
184.9038308,0.979033589,2,4,0.454169217
103.3304627,0.982867139,2,0,0.446321025
195.8982722,0.81006294,4,1,0.583259137
135.5368848,0.808748634,2,0,0.368707213
135.670689,0.992689282,0,0,0.474856092
101.6328503,0.943641576,4,2,0.32660819
118.5232325,0.882534975,3,0,0.489534072
140.1259501,0.656795306,0,0,0.357075673
192.9291417,0.682769514,1,2,0.580906456
109.961493,0.600633383,2,0,0.620796867
194.5301533,0.743574063,3,0,0.793545768
186.9488531,0.995184261,4,3,0.397569331
145.4162397,0.956075477,2,2,0.403601074
132.6700882,0.559174717,0,2,0.773709759
123.2744129,0.512595145,1,3,0.732320419
161.4464706,0.949318834,1,2,0.608027025
103.3074591,0.768585064,2,1,0.720703618
101.5606064,0.600094944,4,4,0.404846072
142.8795722,0.836826635,4,4,0.737014411
106.8074074,0.822111589,2,2,0.733653755
125.1940988,0.561042803,2,4,0.424056124
122.1160915,0.629800117,2,0,0.554186657
125.3191194,0.530038982,3,0,0.764887132
113.1055231,0.604930237,2,1,0.639574998
101.2036223,0.566152837,3,3,0.630259553
111.5484297,0.596618146,0,4,0.5798823
161.848026,0.842733573,2,1,0.434415782
197.4256213,0.524749872,2,4,0.789207686
199.0345002,0.550927308,4,0,0.523754823
140.9054095,0.567086819,2,1,0.455725048
116.2954426,0.65827056,3,1,0.664290355
163.8761757,0.649375155,3,3,0.603852407
149.0305347,0.627531893,2,0,0.471120654
198.9409777,0.875268327,3,1,0.451895795
106.5304207,0.999011394,2,0,0.407253343
178.3234438,0.766988962,0,0,0.339243218
128.8398497,0.972101359,3,2,0.612855453
124.141862,0.698305056,3,2,0.552846819
166.2504572,0.553341223,3,3,0.417424205
124.6063185,0.704386915,3,0,0.327562263
166.5859118,0.648063887,2,2,0.309450534
151.7308517,0.746703481,2,4,0.669247965
142.4088988,0.828521838,0,0,0.394126595
155.4687809,0.73052511,2,1,0.43332181
128.705152,0.967580256,3,0,0.307056097
170.6574706,0.942382411,0,1,0.375319527
141.4856869,0.850988798,1,3,0.737222859
136.054556,0.744842456,4,2,0.421030417
182.8656915,0.565843641,0,4,0.776979099
192.4966912,0.698506833,4,2,0.382173419
104.6007311,0.85220077,3,1,0.426630729
123.2626993,0.64244276,1,3,0.733854984
134.8519369,0.551994039,4,1,0.513304169
181.4966479,0.953949229,0,3,0.43391447
198.5491428,0.854525405,2,3,0.646406881
196.8971705,0.807638213,4,4,0.325614202
190.4948346,0.896249453,2,4,0.745302588
129.6556265,0.917823019,4,2,0.720780773
199.2011243,0.741729499,3,4,0.342898518
124.9420041,0.940594126,2,1,0.699309373
110.5906155,0.958209505,1,1,0.780585221
195.0952611,0.635775548,0,3,0.54603481
123.3420255,0.80377268,1,2,0.584076675
168.9768265,0.763292014,4,2,0.63989837
105.8356359,0.76897289,4,2,0.433363472
173.0709099,0.968831547,1,3,0.624830629
188.1720212,0.652594351,4,4,0.53743375
127.2436895,0.991716989,3,0,0.502770902
137.9056896,0.951065607,0,1,0.75140078
137.4296183,0.729361444,3,3,0.698951555
174.8788258,0.908726632,2,1,0.767303814
123.7807243,0.884523497,0,4,0.718325912
117.1853099,0.838947485,0,4,0.320905301
144.9291649,0.659916945,4,3,0.603264696
130.4468407,0.598225496,2,3,0.648818441
183.9189122,0.835763848,1,0,0.632428738
123.7741826,0.921486648,2,2,0.435978217
150.2389457,0.508126394,1,0,0.512815176
194.25836,0.821401688,2,3,0.319514569
163.3997698,0.721436512,2,0,0.347047064
186.7289405,0.949043878,1,1,0.58025595
194.0209689,0.660736465,3,4,0.591205882
175.0764862,0.737092406,4,4,0.400614645
169.957506,0.757383552,4,0,0.524101362
196.7965567,0.570219761,4,2,0.53603863
199.440079,0.856446151,1,3,0.305668389
145.1821683,0.915238173,4,4,0.371260392
107.0869778,0.528954638,0,0,0.612150029
129.2794031,0.64569441,2,3,0.796410054
115.2354706,0.519022341,1,4,0.625195874
141.7486375,0.978272052,1,0,0.360108334
113.1289328,0.83358441,0,3,0.710720149
160.4117804,0.98210021,2,2,0.515768861
138.2808059,0.765747139,4,0,0.341850105
189.5385884,0.901034262,1,0,0.599912292
196.7794672,0.687206992,1,0,0.414023049
154.6884902,0.676909516,1,4,0.508390874
127.482357,0.689133909,1,2,0.459147125
159.2230419,0.828931067,1,2,0.621426974
189.6761158,0.679726576,1,0,0.515517336
140.6733346,0.950183726,0,0,0.351991047
155.2078277,0.991637433,1,2,0.407837783
127.1652768,0.515213258,3,3,0.550222637
145.5444149,0.596811645,2,0,0.694592114
140.1713535,0.556124996,2,2,0.304871633
124.8413465,0.521182024,4,4,0.606213642
150.5866384,0.613870497,1,2,0.357940879
131.0380826,0.72339666,1,3,0.602024712
137.3034864,0.918495183,0,0,0.718403818
152.4970442,0.610912015,3,2,0.414241483
175.0595023,0.746972628,2,1,0.547757376
133.3507466,0.96480937,2,0,0.687026463
192.4158767,0.833607353,4,0,0.38778874
186.2318547,0.89903951,1,1,0.376280571
104.8690296,0.775496985,0,0,0.752522934
125.3642524,0.990233229,4,4,0.647323326
144.6135513,0.794331077,4,4,0.668286682
110.4627889,0.522755357,4,3,0.721984314
134.8475989,0.5989914,0,3,0.56971289
174.0097526,0.702386814,0,2,0.54420275
168.0514481,0.800638586,1,2,0.578128676
162.2384429,0.885965434,0,4,0.658508984
171.0528403,0.706543063,4,0,0.495468653
120.4923687,0.855029153,1,1,0.347584123
134.1698115,0.894934752,4,4,0.367798442
167.6242482,0.658630099,4,3,0.786951479
187.9234763,0.98963512,2,3,0.325858831
154.3678054,0.824828248,0,3,0.655809669
128.2699651,0.94049903,2,1,0.771840764
103.0235258,0.777968844,2,3,0.364629774
171.0336829,0.870801554,4,3,0.661132189
100.7884104,0.885272031,0,2,0.451228299
137.267907,0.95412419,4,0,0.418482509
153.0537215,0.575174878,3,0,0.726311304
192.2111462,0.779141712,4,1,0.754676846
108.9494545,0.714189257,4,3,0.473525255
140.5942322,0.961579511,0,2,0.616323768
102.43132,0.552547347,4,0,0.387968817
134.2610984,0.991286944,4,1,0.694879718
162.2231059,0.937725662,2,2,0.740619944
127.9067948,0.536913141,4,3,0.459336176
120.974995,0.745483193,0,1,0.626483492
111.5703233,0.85877975,2,2,0.738208849
157.7140244,0.869075773,1,0,0.307687453
169.5270006,0.953247063,1,4,0.727867631
167.1957141,0.899932718,4,0,0.586057172
194.8861021,0.65546519,2,4,0.507007692
100.2703214,0.749217393,3,1,0.561307923
164.7196654,0.850892881,1,2,0.712031004
160.0392237,0.569218421,2,2,0.661064775
158.873961,0.596995399,1,2,0.550632425
196.277032,0.740521224,2,3,0.543826163
101.6871673,0.649122899,4,0,0.749628856
169.6482431,0.931279625,2,4,0.416171102
181.367865,0.793138661,2,3,0.347850848
150.9807197,0.674332599,0,1,0.639319059
133.396487,0.924416513,4,1,0.651105856
179.0840163,0.902439224,3,3,0.584193013
109.7242926,0.999177439,1,4,0.431268273
144.2035638,0.923653844,2,1,0.44797653
151.9952375,0.707228267,2,0,0.608521614
169.3956411,0.563749441,4,1,0.436479171
109.0885732,0.920320454,0,4,0.549810606
122.7759502,0.529878959,1,0,0.466037175
141.0301563,0.675135604,3,3,0.555219088
162.3294673,0.95986899,2,4,0.41468195
188.6960781,0.980383237,0,0,0.399030239
161.8826168,0.820282297,1,0,0.66699917
113.3461471,0.844324158,1,0,0.492863769
198.0580133,0.521227244,3,4,0.416283096
187.1785735,0.757240171,4,2,0.729210201
150.2720761,0.773434089,1,1,0.500850238
192.2347982,0.670050373,1,2,0.357935083
154.1380794,0.534298417,3,1,0.654023982
192.3306068,0.6144538,2,4,0.439985995
182.9897369,0.678991968,4,1,0.582621123
196.828641,0.717570993,3,4,0.61184652
191.9782811,0.795463363,2,0,0.781287186
103.6033817,0.861195759,3,3,0.3955506
117.4772004,0.658815937,3,2,0.442086029
138.9134677,0.66447688,3,2,0.766109916
195.2142697,0.509845821,0,4,0.659146453
130.0028919,0.52043743,3,1,0.524665498
116.0467644,0.628910847,2,1,0.667386699
188.6304666,0.870122499,2,3,0.506692562
144.6394415,0.814156915,1,0,0.505025761
190.7875594,0.88489451,0,1,0.378208377
116.0230466,0.884459718,2,1,0.561024123
166.1117512,0.928283734,0,0,0.431332207
144.0263753,0.860159633,1,3,0.616796718
107.6486769,0.98950546,0,1,0.499303091
169.6463145,0.94941261,2,4,0.726860516
124.7398756,0.793358583,4,0,0.685681296
103.9615523,0.794078835,0,1,0.373966617
105.9944298,0.51713352,0,3,0.595545982
106.1078537,0.999263289,4,2,0.65687031
190.7732957,0.565787999,3,4,0.557220456
173.9883918,0.870173598,4,4,0.356973641
189.8062357,0.910507598,3,4,0.551623697
167.2582311,0.686527265,4,4,0.516449495
152.8939929,0.598426027,0,2,0.462877218
130.4446364,0.549379943,3,2,0.591267786
199.7962251,0.874303003,3,2,0.462436166
136.2189059,0.726326765,4,2,0.417778344
147.0648949,0.85685888,0,3,0.667950638
137.8245175,0.957703824,0,1,0.406685511
197.9526929,0.573291868,0,2,0.702644128
117.4658385,0.9595855,3,2,0.789580503
132.7988001,0.70581323,3,3,0.520619358
168.0348666,0.652633505,3,0,0.706196193
106.3207618,0.97153113,0,3,0.384183864
160.7249374,0.995325846,1,0,0.698651751
147.7646503,0.599446109,1,4,0.781233579
128.3999977,0.828419173,3,3,0.558511697
123.8413281,0.553247657,3,4,0.427859902
151.4512743,0.825457002,0,0,0.380413134
136.7927581,0.913656614,0,3,0.758313415
145.6519891,0.842249273,1,0,0.462286269
133.7477382,0.708666571,1,0,0.548501865
197.0493694,0.69153318,4,4,0.516715776
113.3439432,0.696561208,0,0,0.51760776
109.6803953,0.794855909,2,1,0.68262913
134.3391729,0.940783635,4,2,0.76757916
159.1026901,0.964533079,0,3,0.618387339
165.9176472,0.52676481,2,4,0.778569111
139.7256747,0.590811197,2,2,0.395222334
199.9277994,0.556112158,3,4,0.581968638
135.1892996,0.59666732,3,1,0.642753493
172.1406668,0.673303905,2,2,0.657488165
163.7582695,0.753265841,2,3,0.677923726
181.3053863,0.814730614,4,0,0.466575051
197.6225663,0.86607111,2,0,0.74109729
188.9793656,0.945055771,3,2,0.365852781
176.4561974,0.994544219,3,4,0.439267857
169.8248478,0.831428239,3,3,0.534357
133.549817,0.922682259,1,0,0.595999046
114.7685578,0.889019423,4,2,0.447642091
106.2636003,0.65376602,4,2,0.753912822
124.1901704,0.937846135,4,1,0.525923416
143.2281481,0.521381569,1,3,0.350168667
152.1996274,0.500183672,4,3,0.709525883
177.3083554,0.636866315,1,4,0.782726948
