Alcohol_Content,Sugar_Level,Acidity,Tannin_Level,Sulfite_Concentration,Cluster
0.36054556,0.828656915,0.924966912,0.046007311,0.232626993,0
0.348519369,0.814966479,0.985491428,0.968971705,0.904948346,1
0.296556265,0.992011243,0.249420041,0.105906155,0.950952611,0
0.233420255,0.689768265,0.058356359,0.730709099,0.881720212,2
0.272436895,0.379056896,0.374296183,0.748788258,0.237807243,2
0.171853099,0.449291649,0.304468407,0.839189122,0.237741826,2
0.502389457,0.9425836,0.633997698,0.867289405,0.940209689,1
0.750764862,0.69957506,0.967965567,0.99440079,0.451821683,1
0.070869778,0.292794031,0.152354706,0.417486375,0.131289328,2
0.604117804,0.382808059,0.895385884,0.967794672,0.546884902,1
0.27482357,0.592230419,0.896761158,0.406733346,0.552078277,1
0.271652768,0.455444149,0.401713535,0.248413465,0.505866384,0
